keyword	url	source
Analyzer	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Anamorphic Magnification	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Anastigmastic Lens	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Anatoly Yakovlevich Solovyov	https://www.britannica.com/biography/Anatoly-Yakovlevich-Solovyov	Britannica
Anaxagoras	https://www.britannica.com/biography/Anaxagoras	Britannica
Anaximander	https://www.britannica.com/biography/Anaximander	Britannica
Anaximenes Of Miletus	https://www.britannica.com/biography/Anaximenes-of-Miletus	Britannica
Anders, William A.	https://www.britannica.com/biography/William-A-Anders	Britannica
Andre-Louis Danjon	https://www.britannica.com/biography/Andre-Louis-Danjon	Britannica
Andrea Ghez	https://www.britannica.com/biography/Andrea-Ghez	Britannica
Andrew Ellicott Douglass	https://www.britannica.com/biography/Andrew-Ellicott-Douglass	Britannica
Andromeda	https://astro4edu.org/resources/glossary/term/7/	Astro4Edu
Andromeda	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Andromeda	https://www.britannica.com/place/Andromeda-constellation	Britannica
Andromeda Galaxy	https://astro4edu.org/resources/glossary/term/8/	Astro4Edu
Andromeda Galaxy	https://www.britannica.com/place/Andromeda-Galaxy	Britannica
Andromeda galaxy	https://hyperphysics.phy-astr.gsu.edu/hbase/astro/andromeda.html	HyperPhysics
Andromeda Galaxy (M31)	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Andromeda I, II, III	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Andronicus of Cyrrhus	https://www.britannica.com/biography/Andronicus-of-Cyrrhus	Britannica
Angel, Roger	https://www.britannica.com/biography/Roger-Angel	Britannica
Angstrom	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Angstrom, Anders Jonas	https://www.britannica.com/biography/Anders-Jonas-Angstrom	Britannica
Angular Acceleration	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
angular acceleration	https://hyperphysics.phy-astr.gsu.edu/hbase/rotq.html	HyperPhysics
Angular Diameter	https://astro4edu.org/resources/glossary/term/9/	Astro4Edu
Angular Dispersion	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Angular Displacement	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
angular displacement	https://hyperphysics.phy-astr.gsu.edu/hbase/rotq.html	HyperPhysics
Angular Frequency	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Angular Momentum	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
angular momentum	https://hyperphysics.phy-astr.gsu.edu/hbase/amom.html	HyperPhysics
angular momentum, quantized	https://hyperphysics.phy-astr.gsu.edu/hbase/bohr.html	HyperPhysics
Angular Resolution	https://astro4edu.org/resources/glossary/term/284/	Astro4Edu
Angular Size	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
angular velocity	https://hyperphysics.phy-astr.gsu.edu/hbase/rotq.html	HyperPhysics
Anharmonic Oscillator	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Anisotropic Models	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Anisotropic Superfluid	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Anisotropy	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Annadurai, Mylswamy	https://www.britannica.com/biography/Mylswamy-Annadurai	Britannica
Anne McClain	https://www.britannica.com/biography/Anne-McClain	Britannica
Annihilation	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Annual Parallax	https://astro4edu.org/resources/glossary/term/10/	Astro4Edu
Annual Variation	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Annular Eclipse	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Annular Solar Eclipse	https://astro4edu.org/resources/glossary/term/11/	Astro4Edu
Anomalistic Month	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Anomalistic Year	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
